State,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,,
Nevada,Kenny Guinn (Republican),Kenny Guinn (Republican),Kenny Guinn (Republican),Kenny Guinn (Republican),Kenny Guinn (Republican),Kenny Guinn (Republican),Kenny Guinn (Republican),Jim Gibbons (Republican),Jim Gibbons (Republican),Jim Gibbons (Republican),Jim Gibbons (Republican),Brian Sandoval (Republican),Brian Sandoval (Republican),Brian Sandoval (Republican),Brian Sandoval (Republican),Brian Sandoval (Republican),Brian Sandoval (Republican),Brian Sandoval (Republican),Brian Sandoval (Republican),Steve Sisolak (Democrat),Steve Sisolak (Democrat),Steve Sisolak (Democrat),Steve Sisolak (Democrat),,
Missouri,Bob Holden (Democrat),Bob Holden (Democrat),Bob Holden (Democrat),Bob Holden (Democrat),Bob Holden (Democrat),Matt Blunt (Republican),Matt Blunt (Republican),Matt Blunt (Republican),Matt Blunt (Republican),Jay Nixon (Democrat),Jay Nixon (Democrat),Jay Nixon (Democrat),Jay Nixon (Democrat),Jay Nixon (Democrat),Jay Nixon (Democrat),Jay Nixon (Democrat),Jay Nixon (Democrat),Mike Parson (Republican),Mike Parson (Republican),Mike Parson (Republican),Mike Parson (Republican),Mike Parson (Republican),Mike Parson (Republican),,
Connecticut,John G. Rowland (Republican),John G. Rowland (Republican),John G. Rowland (Republican),John G. Rowland (Republican),M. Jodi Rell (Republican),M. Jodi Rell (Republican),M. Jodi Rell (Republican),M. Jodi Rell (Republican),M. Jodi Rell (Republican),M. Jodi Rell (Republican),M. Jodi Rell (Republican),Dannel Malloy (Democrat),Dannel Malloy (Democrat),Dannel Malloy (Democrat),Dannel Malloy (Democrat),Dannel Malloy (Democrat),Dannel Malloy (Democrat),Dannel Malloy (Democrat),Dannel Malloy (Democrat),Ned Lamont (Democrat),Ned Lamont (Democrat),Ned Lamont (Democrat),Ned Lamont (Democrat),,
Oregon,"John Kitzhaber (Democrat, end of his second term)","John Kitzhaber (Democrat, end of his second term)","John Kitzhaber (Democrat, end of his second term)",Ted Kulongoski (Democrat),Ted Kulongoski (Democrat),Ted Kulongoski (Democrat),Ted Kulongoski (Democrat),Ted Kulongoski (Democrat),Ted Kulongoski (Democrat),Ted Kulongoski (Democrat),Ted Kulongoski (Democrat),John Kitzhaber (Democrat,John Kitzhaber (Democrat,John Kitzhaber (Democrat,John Kitzhaber (Democrat,Kate Brown (Democrat),Kate Brown (Democrat),Kate Brown (Democrat),Kate Brown (Democrat),Kate Brown (Democrat),Kate Brown (Democrat),Kate Brown (Democrat),Kate Brown (Democrat),,
Michigan,John Engler (Republican,John Engler (Republican,John Engler (Republican,Jennifer Granholm (Democrat),Jennifer Granholm (Democrat),Jennifer Granholm (Democrat),Jennifer Granholm (Democrat),Jennifer Granholm (Democrat),Jennifer Granholm (Democrat),Jennifer Granholm (Democrat),Jennifer Granholm (Democrat),Rick Snyder (Republican),Rick Snyder (Republican),Rick Snyder (Republican),Rick Snyder (Republican),Rick Snyder (Republican),Rick Snyder (Republican),Rick Snyder (Republican),Rick Snyder (Republican),Gretchen Whitmer (Democrat),Gretchen Whitmer (Democrat),Gretchen Whitmer (Democrat),Gretchen Whitmer (Democrat),,
Utah,Mike Leavitt (Republican),Mike Leavitt (Republican),Mike Leavitt (Republican),Mike Leavitt (Republican),Olene Walker (Republican),Olene Walker (Republican),Jon Huntsman Jr. (Republican),Jon Huntsman Jr. (Republican),Jon Huntsman Jr. (Republican),Gary Herbert (Republican),Gary Herbert (Republican),Gary Herbert (Republican),Gary Herbert (Republican),Gary Herbert (Republican),Gary Herbert (Republican),Gary Herbert (Republican),Gary Herbert (Republican),Gary Herbert (Republican),Gary Herbert (Republican),Gary Herbert (Republican),Gary Herbert (Republican),Spencer Cox (Republican),Spencer Cox (Republican),,
Hawaii,Ben Cayetano (Democra,Ben Cayetano (Democra,Linda Lingle (Republican),Linda Lingle (Republican),Linda Lingle (Republican),Linda Lingle (Republican),Linda Lingle (Republican),Linda Lingle (Republican),Linda Lingle (Republican),Linda Lingle (Republican),Neil Abercrombie (Democrat),Neil Abercrombie (Democrat),Neil Abercrombie (Democrat),Neil Abercrombie (Democrat),David Ige (Democrat),David Ige (Democrat),David Ige (Democrat),David Ige (Democrat),David Ige (Democrat),David Ige (Democrat),David Ige (Democrat),David Ige (Democrat),Josh Green (Democrat),,
New Mexico,Gary Johnson (Republican,Gary Johnson (Republican,Gary Johnson (Republican,Bill Richardson (Democrat),Bill Richardson (Democrat),Bill Richardson (Democrat),Bill Richardson (Democrat),Bill Richardson (Democrat),Bill Richardson (Democrat),Bill Richardson (Democrat),Bill Richardson (Democrat),Susana Martinez (Republican),Susana Martinez (Republican),Susana Martinez (Republican),Susana Martinez (Republican),Susana Martinez (Republican),Susana Martinez (Republican),Susana Martinez (Republican),Susana Martinez (Republican),Michelle Lujan Grisham (Democrat),Michelle Lujan Grisham (Democrat),Michelle Lujan Grisham (Democrat),Michelle Lujan Grisham (Democrat),,
Puerto Rico,Sila María Calderón (Popular Democratic Party),Sila María Calderón (Popular Democratic Party),Sila María Calderón (Popular Democratic Party),Sila María Calderón (Popular Democratic Party),Sila María Calderón (Popular Democratic Party),Aníbal Acevedo Vilá (Popular Democratic Party),Aníbal Acevedo Vilá (Popular Democratic Party),Aníbal Acevedo Vilá (Popular Democratic Party),Aníbal Acevedo Vilá (Popular Democratic Party),Luis Fortuño (New Progressive Party,Luis Fortuño (New Progressive Party,Luis Fortuño (New Progressive Party,Luis Fortuño (New Progressive Party,Alejandro García Padilla (Popular Democratic Part,Alejandro García Padilla (Popular Democratic Part,Alejandro García Padilla (Popular Democratic Part,Alejandro García Padilla (Popular Democratic Part,Ricardo Rosselló (New Progressive Party,"Wanda Vázquez Garced (New Progressive Party,",Pedro Pierluisi (New Progressive Party,Pedro Pierluisi (New Progressive Party,Pedro Pierluisi (New Progressive Party,Pedro Pierluisi (New Progressive Party,,
Guam,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Northern Mariana Islands,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Not Known,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
